email,full_name,avatar_url,role,created_at,updated_at,new_id,user_id
user6@example.com,Léa Robert,,service_pro,2025-09-06 10:56:45.935979+00,2025-09-06 10:56:45.935979+00,7963840b-165a-4ad6-bfa1-9e904d5057a1,13a08975-7817-4ffe-ba4b-bd98a65a33c1
user7@example.com,Admin User,,admin,2025-09-06 10:56:45.935979+00,2025-09-06 10:56:45.935979+00,e543b4dc-89f5-4c21-9975-4e86d611918e,20140d25-75ea-4f4d-adc8-c9ad6612eecb
user5@example.com,Alice Bernard,,service,2025-09-06 10:56:45.935979+00,2025-09-06 10:56:45.935979+00,096b974c-c721-4fc3-966d-59acd9670932,43628b77-b29c-4a5a-97dd-8aec5761743e
carol@example.com,Carol Bernard,,concierge,2025-09-06 10:52:04.112401+00,2025-09-06 10:52:04.112401+00,7e98ed7f-3bec-4c07-a2d7-f9699749c803,88fc3577-2b36-43d8-9fac-38bc06ce834b
user3@example.com,Paul Martin,,concierge,2025-09-06 10:56:45.935979+00,2025-09-06 10:56:45.935979+00,63690d24-df5c-4133-8d19-2be0b757f9f8,8c7df3b1-eab2-448d-8bb7-a526c8a68243
alice@example.com,Alice Dupont,https://example.com/avatar1.png,user,2025-09-06 10:52:04.112401+00,2025-09-06 10:52:04.112401+00,21f15492-2bee-442d-b9fb-9a017064309d,9ce5300f-f4cf-4ca1-ad34-f130ec5414b9
user4@example.com,Sophie Durant,,concierge_pro,2025-09-06 10:56:45.935979+00,2025-09-06 10:56:45.935979+00,c1257121-f225-4573-bde9-f14b2c7e3439,a65e6f22-9d36-44df-846d-d04a8fd1a01a
user2@example.com,Marie Curie,,proprietaire_pro,2025-09-06 10:56:45.935979+00,2025-09-06 10:56:45.935979+00,168008e1-65fb-4b1b-b291-18d207ce1288,d053a8ce-ac4c-4435-a7d1-0c88a65befd7
bob@example.com,Bob Martin,https://example.com/avatar2.png,admin,2025-09-06 10:52:04.112401+00,2025-09-06 10:52:04.112401+00,cb5baba6-ec23-4d61-8570-26d34fd1cad9,efeab13d-4c97-4401-b5ee-3e88d69ba7a9
user1@example.com,Jean Dupont,,proprietaire,2025-09-06 10:56:45.935979+00,2025-09-06 10:56:45.935979+00,82286840-b01a-403a-9857-13433899c332,fbe2dc1e-c2e8-4110-a707-c3445c521a8e
